date,vendor,contact,referral,tons,seers,parts_n_labor ($),parts (yr),labor (yr),brand,humidifer ($),furnace warranty,0% max term (m),0% fee,other items
01/07/2019,Greenpark,,builder,2.5,,5000,,,,,,,,
06/06/2019,A1 glass,647 551 8595,flyer,2,16,2350,10,2,directair,winter cover, wall brackets,,,
06/06/2019,A1 glass,647 551 8595,flyer,2,13,1799,10,2,directair,winter cover, wall brackets,,,
14/06/2019,A1 glass,647 551 8595,flyer,2.5,13,1950,10,2,directair,250,will take over warranty,1 yr financing,199,
14/06/2019,A1 glass,647 551 8595,flyer,2.5,16,2500,10,2,directair,,,,,
07/06/2019,Ardi,‭+1 (416) 356-0074‬,altaf uncle,2.5,16,3300,,5+5,Keeprite,,,,,
08/06/2019,naveed ac bai,‭+1 (647) 887-5047‬,jelani bai,2,13,2100,10,1,Goodman,,,,,
08/06/2019,naveed ac bai,‭+1 (647) 887-5047‬,jelani bai,2.5,13,2200,10,2,Goodman,300,10,24,10,free winter cover; wall brackets. 6 month interest free fee $70. financing available upto 24 months; equal payments; admin/processing fee go up per time scale. 
08/06/2019,naveed ac bai,‭+1 (647) 887-5047‬,jelani bai,2,16,2700,10,1,Goodman,,,,,
08/06/2019,naveed ac bai,‭+1 (647) 887-5047‬,jelani bai,2.5,16,2900,10,1,Goodman,,,,,
02/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2,13,2100,10,1,Goodman,250,,24 months ,7-8 %,no warranty on furnace; 
02/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2,16,2950,10,1,Goodman,,,Can provide personal favor with no admin fee. ,,
02/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2,16,3200,10,1,Rheem,,,,,
02/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2.5,13,2200,10,3,Goodman,200,,,,no warranty on furnace; 
23/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2.5,13,2300,10,5,Rheem,200,,,,no warranty on furnace; 
02/06/2019,Tayeb gas bai,1 (647) 470-0230‬,jelani bai,2.5,13,2200,10,1,Goodman,250,,,,no warranty on furnace; 
06/06/2019,Air Makers (rocky),647 299 7380,flyer,2,13,2600,10,2,,,,,,winter cover
06/06/2019,Air Makers (rocky),647 299 7380,flyer,2,16,2700,10,2,,,,,,winter cover
09/06/2019,Air Makers (rocky),647 299 7380,flyer,2.5,,2200,,2,Goodman,250,,,,199 admin; 1 year
14/06/2019,Montwest,905 760 5616,builder,2.5,13,2600,10,1,Goodman,Free,,,none,furnace warranty intact
24/06/2019,GM Air,647 333 1445,flyter,2.5,13,1900,10,3,Ducan,250,will take over warranty,,,winter cover
